"Code","Name","Latitude","Longitude","YEAR","Depth","Reef Type","tCORALavg","tCORALstd","tFMAavg","tFMAstd","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tCommBiomass","tACANavg","tACANstd","tSCARavg","tSCARstd","tHerbiBiomass"
"PHMR 05","East Snake Caye",16.20594,-88.50809,"2021",4.9,NA,16.33,9.11,9.83,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 06","Middle Snake Caye",16.20153,-88.55112,"2021",2.8,NA,NA,NA,NA,NA,181,230,0,0,13,40,990,3132,1184,423,281,400,723,1146
"PHMR 06","Middle Snake Caye",16.20153,-88.55112,"2021",3.1,NA,15.33,4.41,10.17,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 07","West Snake Caye",16.18875,-88.56981,"2021",3.3,NA,18,7.85,8.17,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 07","West Snake Caye",16.18875,-88.56981,"2021",4.1,NA,NA,NA,NA,NA,255,661,9,30,0,0,0,0,264,445,434,88,147,592
"PHMR 08","South Snake Caye",16.17914,-88.56445,"2021",2.2,NA,11.83,3.66,5.42,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 08","South Snake Caye",16.17914,-88.56445,"2021",2.3,NA,NA,NA,NA,NA,117,298,0,0,0,0,0,0,117,227,222,18,57,284
"PHMR 09","Wilson Caye",16.22111,-88.58796,"2021",1.5,NA,NA,NA,NA,NA,44,107,0,0,0,0,0,0,44,477,524,0,0,477
"PHMR 09","Wilson Caye",16.22111,-88.58796,"2021",2.6,NA,9.67,10.67,15.67,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 10","BANK 2",16.17936,-88.55684,"2021",3,NA,10.17,6.27,4.17,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 10","BANK 2",16.17936,-88.55684,"2021",3.9,NA,NA,NA,NA,NA,351,574,44,138,0,0,0,0,395,702,435,248,746,1448
"Pig Sty","Pig Sty",18.18163,-87.82744,"2018",11.3,NA,NA,NA,NA,NA,560,666,109,183,145,456,0,0,814,602,580,575,436,1038
"R01","LHRA",17.4735,-87.4864,"2023",NA,"Atoll",5.25,4.085034,36.5,10.535654,0,0,883.4941799043,2244.4503918188,8.5774181959163,6.0651505714053,354.44863557565,1063.345906727,1246.52023367587,501.52232807443,689.59524183342,681.02289673741,549.4470161272,1050.96934420163
"R02","LHRA",17.4719,-87.4873,"2023",NA,"Atoll",4,3.570714,34,17.242752,33.473632943671,55.893500611669,16.797148305847,33.594296611693,0,0,67.389327550159,202.16798265048,117.660108799677,371.63261531499,423.0504151491,2316.4993459644,2516.9475698366,2888.58018515159
"R03","LHRA",17.4618,-87.4986,"2023",NA,"Atoll",8,5.049752,20.25,9.36416,58.203450448062,122.66929564182,17.906951425506,33.202088433285,0,0,0,0,76.110401873568,4639.8515055962,10409.112909735,7556.6208699043,15251.764068879,19891.6155744752
"R04","LHRA",17.4459,-87.5283,"2023",NA,"Atoll",9.75,4.115519,28.6875,6.9684,56.696370576853,112.47936823797,166.2875928135,325.99684151762,102.67797569784,72.6042928944502,132.6964894597,398.08946837911,458.358428547893,215.23097942402,192.64974618297,1831.8267405944,970.17099474861,1185.40197417263
"R05","LHRA",17.4432,-87.5293,"2023",NA,"Atoll",15.5,5.074446,19.3125,9.079295,280.68742569364,334.45922335096,10.681351287563,24.924443409592,17.154836391833,12.1303011428109,1004.3082814867,3012.9248444602,1312.83189485974,170.73805678522,224.04585155435,1615.5911312361,1425.6166411251,1596.35469791032
"R06","LHRA",17.3923,-87.4624,"2023",NA,"Atoll",8,4.555217,15.0625,8.726531,824.86831132449,1407.723906006,9.5083772725828,28.525131817748,19.59277923113,13.854187056623,0,0,853.969467828203,164.96622973575,194.61531334781,564.34279964258,407.66334754061,572.62957727636
"R07","LHRA",17.3936,-87.4635,"2023",NA,"Atoll",17.25,10.859903,1,1.322876,94.259110225447,133.69995500023,0,0,0,0,0,0,94.259110225447,309.90338412806,311.58195114841,230.20645658025,445.35774631346,755.26113044152
"R08","LHRA",17.3837,-87.5184,"2023",NA,"Atoll",3.875,3.550968,65.8125,17.360043,499.2809343926,810.28442606694,0,0,54.40872552723,38.4727787760219,0,0,553.68965991983,84.603346302451,120.10433808354,44.454733613028,58.967126966602,143.570473269053
"R10 DFR","LHRA",17.3097,-87.5836,"2023",NA,"Atoll",16.75,6.703544,15.5,6.264982,620.22753434937,1414.7413669783,669.96427285376,1147.9703890637,211.84772480381,149.798962787716,0,0,1502.03953200694,198.07551725591,173.29625307779,531.4247153233,439.73659086557,637.81210812148
"R10 DFR","R10 DFR",17.3097,-87.58365,"2021",2.2,NA,15.83,10.25,2.17,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10 DFR","R10 DFR",17.3097,-87.58365,"2021",3.6,NA,NA,NA,NA,NA,233,192,14,36,19,60,0,0,266,1151,1061,960,1303,2454
"R11 SFR","LHRA",17.2574,-87.572,"2023",NA,"Atoll",11.5,4.527693,7.5,3.427827,37.428838589763,112.28651576929,16.797148305847,33.594296611693,18.57094613881,13.1316419478027,0,0,72.79693303442,199.8014332966,475.74682462075,127.77493097768,148.50117260477,348.30260590137
"R11 SFR","R11 SFR",17.25742,-87.57198,"2021",4.8,NA,17,3.74,7.17,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R11 SFR","R11 SFR",17.25742,-87.57198,"2021",10.6,NA,NA,NA,NA,NA,264,404,2,8,150,287,0,0,416,430,315,216,228,658
"R12","LHRA",17.2243,-87.6046,"2023",NA,"Atoll",10.75,5.30919,5.5,3.570714,69.524925184765,208.57477555429,17.625780242009,32.691992137862,0,0,0,0,87.150705426774,133.94157632169,120.5889596981,346.05407097774,356.56818304513,490.50975936682
"R13 SFR","LHRA",17.226,-87.6015,"2023",NA,"Atoll",20.571429,6.52155,25.428571,3.499271,42.639492203985,74.113641174302,35.813902851012,76.290469007404,17.154836391833,12.1303011428109,0,0,95.60823144683,108.32621859255,158.90406691747,284.11158911849,182.60339812642,290.92961671897
"R13 SFR","R13 SFR",17.22598,-87.60154,"2021",7.6,NA,12.83,6.55,40.25,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13 SFR","R13 SFR",17.22598,-87.60154,"2021",8.4,NA,NA,NA,NA,NA,185,257,200,371,106,194,0,0,491,690,647,141,153,843
"R14","LHRA",17.2237,-87.5638,"2023",NA,"Atoll",12.5,5.123475,28.0625,13.354394,5674.2694722833,7075.1321240578,142.16011682378,159.45756481034,255.79543485533,180.874686582766,151.27300800518,395.7915241779,6223.49803196759,15.578878295259,20.821765949659,1097.8282496628,1248.4540306801,1264.03290897536
"R15 DFR","LHRA",17.2032,-87.5422,"2023",NA,"Atoll",13.875,7.606535,26.4375,10.372552,3315.9324355478,6150.2177079513,13835.733968849,30529.191975323,147.99781892381,104.650261361845,1092.7865457214,2348.1023431035,18392.450769042,96.232356644951,148.31214167236,1070.2670528882,1302.6566094276,1398.88896607255
"R15 DFR","R15 DFR",17.20323,-87.54223,"2021",10.7,NA,15.33,6.31,30.67,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R15 DFR","R15 DFR",17.20323,-87.54223,"2021",11,NA,NA,NA,NA,NA,378,458,162,384,160,501,158,378,858,2831,4199,130,96,2927
"R16 DFR","LHRA",17.2032,-87.5249,"2023",NA,"Atoll",5.75,5.606915,11,8.019507,264.15348552604,764.57973333,986.64899597586,1881.5084179396,0,0,0,0,1250.8024815019,172.9536212809,226.71596961779,243.09291320938,373.0042938346,545.9579151155
"R16 DFR","R16 DFR",17.20319,-87.52493,"2021",10.7,NA,2.67,1.86,23.17,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16 DFR","R16 DFR",17.20319,-87.52493,"2021",13.6,NA,NA,NA,NA,NA,0,0,0,0,0,0,410,865,410,1314,1225,328,345,1659
"R17 SFR","LHRA",17.2034,-87.5281,"2023",NA,"Atoll",5.375,4.662014,0.75,1.089725,92.449822980686,277.34946894206,0,0,0,0,48.812809004687,146.43842701406,141.262631985373,326.56015000629,355.15254063471,580.45623368545,839.80485368356,1166.36500368985
"R17 SFR","R17 SFR",17.20341,-87.52811,"2021",4.8,NA,5.83,4.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R17 SFR","R17 SFR",17.20341,-87.52811,"2021",5.3,NA,NA,NA,NA,NA,193,611,118,374,6,20,0,0,317,814,727,100,100,914
"R18 BR","LHRA",17.1862,-87.6121,"2023",NA,"Atoll",23.25,8.332917,7.375,6.32332,62.749633938263,109.0155071978,16.797148305847,33.594296611693,74.507778270795,52.6849552664228,53.154266373168,145.56788696836,207.208826888073,599.23962330877,972.80562137871,590.50964557884,447.50644695989,1046.74607026866
"R18 BR","R18 BR",17.18617,-87.61214,"2021",1.8,NA,17.33,4.41,13.5,3.82,112,121,11,34,0,0,0,0,123,662,723,153,133,795
"R19","LHRA",17.1242,-87.6208,"2023",NA,"Atoll",5.285714,4.164966,48.928571,7.408627,0,0,549.31281894117,1152.2897148184,0,0,0,0,549.31281894117,155.76491798687,240.9609832974,338.70695748201,482.03270041495,637.79761840182
"R2 SFR","R2 SFR",17.47189,-87.48732,"2021",4.3,NA,NA,NA,NA,NA,42,78,40,56,0,0,0,0,82,511,575,120,102,613
"R2 SFR","R2 SFR",17.47189,-87.48732,"2021",4.6,NA,4.67,3.56,22.83,12.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20 SFR","LHRA",17.131,-87.6064,"2023",NA,"Atoll",11.5,9.041571,5.5,3.418699,42.128707721639,77.404025212916,0,0,0,0,0,0,42.128707721639,222.85280432661,307.05156773077,728.11015197049,636.98055069733,859.83335502394
"R20 SFR","R20 SFR",17.13101,-87.60639,"2021",6.1,NA,NA,NA,NA,NA,250,397,1,4,4,8,0,0,255,429,428,306,320,749
"R20 SFR","R20 SFR",17.13101,-87.60639,"2021",6.2,NA,10.83,6.43,7.67,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21 BR","LHRA",17.1352,-87.6206,"2023",NA,"Atoll",6.25,4.575751,35.875,9.05107,1.1374503269365,3.4123509808096,0,0,42.887090979582,30.3257528570268,0,0,44.0245413065185,814.59532436552,1993.6870644377,377.81028869218,247.15724156571,1061.75256593123
"R21 BR","R21 BR",17.13524,-87.62064,"2021",1.7,NA,6.5,2.51,34.25,10.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21 BR","R21 BR",17.13524,-87.62064,"2021",2.4,NA,NA,NA,NA,NA,284,370,0,0,0,0,0,0,284,633,720,487,571,1204
"R22","LHRA",17.4381,-87.534,"2023",NA,"Atoll",3.875,2.315032,4.875,5.754075,0,0,8.3985741529233,25.19572245877,0,0,0,0,8.3985741529233,302.47749693653,289.43313206437,650.76980517261,737.94509114416,1040.42258808069
"R23","LHRA",17.2066,-87.5307,"2023",NA,"Atoll",9.125,6.173279,8.75,3.112475,1550.2481017054,2463.6832400667,0,0,80.140980114979,56.6682304902379,323.60492792251,970.81478376754,1953.99400974289,273.39336554968,426.67733977168,633.84629833714,932.25351010977,1205.64687565945
"R24","LHRA",17.3147,-87.5345,"2023",NA,"Atoll",14,5.315073,32.75,7.416198,1352.8523972856,2326.7432177808,0,0,74.00150475836,52.3269658326449,0,0,1426.85390204396,190.52284669962,330.74315212675,1782.0219797628,667.76740530037,858.29025199999
"R4 DFR","R4 DFR",17.44595,-87.52826,"2021",9.8,NA,9.33,3.5,37.25,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4 DFR","R4 DFR",17.44595,-87.52826,"2021",10.4,NA,NA,NA,NA,NA,729,1203,11,36,6,20,0,0,746,760,722,295,238,998
"R6 DFR","R6 DFR",17.39226,-87.46236,"2021",10.7,NA,14.33,4.03,11.33,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6 DFR","R6 DFR",17.39226,-87.46236,"2021",11.2,NA,NA,NA,NA,NA,121,171,118,374,0,0,163,285,402,793,831,171,181,974
"R7 SFR","R7 SFR",17.39364,-87.46348,"2021",6.2,NA,17.67,9.18,12.67,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7 SFR","R7 SFR",17.39364,-87.46348,"2021",6.3,NA,NA,NA,NA,NA,104,221,36,115,0,0,0,0,140,614,1457,181,233,847
"R9 BR","LHRA",17.3165,-87.5302,"2023",NA,"Atoll",10.375,3.603384,18.4375,9.298647,10.883817460111,29.058512916247,90.689826387153,146.46313598052,154.55952186902,109.290086010535,0,0,256.133165716284,351.03336780103,572.58205432358,3645.784141157,2236.2639165802,2587.29728438123
"R9 BR","R9 BR",17.31648,-87.53019,"2021",2.2,NA,6.5,2.81,17.67,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9 BR","R9 BR",17.31648,-87.53019,"2021",4.2,NA,NA,NA,NA,NA,498,442,0,0,0,0,0,0,498,3728,3922,704,1686,5414
"Rainbow","Rainbow Reef",18.08934,-87.86808,"2018",1,NA,NA,NA,NA,NA,56,59,19,40,13,27,0,0,88,576,377,322,219,795
"RPN","Rocky Point North",18.11949,-87.82177,"2018",12.7,NA,NA,NA,NA,NA,0,0,2,8,56,178,0,0,58,577,664,415,598,1175
"SP_DFR","Soldier Point",17.3341,-87.7871,"2023",NA,"Atoll",13.416667,5.80529,23.75,5.505679,72.999567651075,119.98355566149,18.408592212505,34.36055265353,2.7088253769968,1.91542879312464,0,0,94.1169852405768,234.64399422942,405.21057913456,713.51252802824,906.69468045601,1141.33867468543
"SP_DFR","SP_DFR",17.33406,-87.78709,"2018",10.7,NA,NA,NA,NA,NA,281,343,12,33,0,0,0,0,293,1217,1153,157,214,1431
"SP_SFR","SP_SFR",17.33352,-87.78812,"2018",7.6,NA,NA,NA,NA,NA,322,511,66,187,27,38,0,0,415,1252,1455,841,561,1813
"SWCCZFR1","SWCCZFR1",16.88466,-88.06055,"2021",13.6,NA,NA,NA,NA,NA,205,291,22,44,127,379,0,0,354,534,508,720,1627,2161
"SWCCZFR1","SWCCZFR1",16.88466,-88.06055,"2021",15.4,NA,27.17,5.81,48,7.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCCZFR1","SWCCZFR1",16.8847,-88.0606,"2023",NA,"Barrier",22.666667,9.049248,21.5,5.619905,192.07490780851,419.6944106433,59.427797113118,108.33426086805,88.718398310896,62.7333810616437,0,0,340.221103232524,370.99744412052,439.66938530995,1231.4742211555,921.03762894923,1292.03507306975
"SWCCZFR1","SWCCZFR1",16.88471,-88.0567,"2018",15.5,NA,NA,NA,NA,NA,58,165,248,330,255,615,0,0,561,1998,1291,552,255,2253
"SWCCZFR2","SWCCZFR2",16.8679,-88.0649,"2023",NA,"Barrier",13.666667,8.013877,33.333333,7.272475,0,0,113.52703421523,162.97272407854,372.53889135398,263.424776332118,0,0,486.06592556921,305.92540493702,252.33072941019,761.85905065641,611.02576375184,916.95116868886
"SWCCZFR2","SWCCZFR2",16.86792,-88.06493,"2021",15.1,NA,NA,NA,NA,NA,235,341,121,229,25,61,0,0,381,767,734,181,153,920
"SWCCZFR2","SWCCZFR2",16.86792,-88.06493,"2021",15.5,NA,24.33,9.95,41.5,12.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCCZFR2","SWCCZFR2",16.86805,-88.06128,"2018",15.8,NA,NA,NA,NA,NA,300,269,0,0,16,29,0,0,316,1811,1567,387,313,2124
"SWCCZFR3","SWCCZFR3",16.84966,-88.06495,"2018",15.5,NA,NA,NA,NA,NA,1495,1294,35,49,142,376,0,0,1672,3336,2147,257,156,3492
"SWCCZFR3","SWCCZFR3",16.8499,-88.0709,"2023",NA,"Barrier",22.333333,11.642833,28.333333,4.307616,185.58437206319,169.8205305932,186.50053201154,228.29652931827,284.4762826816,201.155108570901,451.95861982628,1355.8758594788,1108.51980658261,208.46396286539,162.90193306651,1241.2043630154,702.0634873837,910.52745024909
"SWCCZFR3","SWCCZFR3",16.84992,-88.07088,"2021",11.5,NA,NA,NA,NA,NA,1354,3145,203,328,29,51,0,0,1586,1988,2075,215,285,2273
"SWCCZFR3","SWCCZFR3",16.84992,-88.07088,"2021",13.7,NA,45.83,10.98,31.17,9.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCCZFR4","SWCCZFR4",16.83376,-88.06993,"2018",15.5,NA,NA,NA,NA,NA,240,322,296,323,0,0,0,0,536,1135,851,139,135,1270
"SWCCZFR4","SWCCZFR4",16.83489,-88.07456,"2021",11.4,NA,NA,NA,NA,NA,65,130,146,367,1,3,0,0,212,618,861,45,54,672
"SWCCZFR4","SWCCZFR4",16.83489,-88.07456,"2021",13.1,NA,25.83,4.36,38.17,6.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCCZFR4","SWCCZFR4",16.8349,-88.0746,"2023",NA,"Barrier",17.666667,4.027682,28.5,9.429563,532.04625442344,554.02643126793,38.530398827206,115.59119648162,48.269250170611,34.131514118429,523.46759071072,1570.4027721322,1142.31349413198,140.56772608612,94.02481280108,1579.2210670249,1061.297438823,1201.86516490912
"SWCCZFR5","SWCCZFR5",16.81828,-88.07736,"2021",12.3,NA,NA,NA,NA,NA,13,29,17,47,284,845,0,0,314,423,333,37,55,478
"SWCCZFR5","SWCCZFR5",16.81828,-88.07736,"2021",13.4,NA,25.67,5.57,39.5,14.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCCZFR5","SWCCZFR5",16.8183,-88.0774,"2023",NA,"Barrier",15.5,7.719024,29.5,10.340052,54.163641252743,63.635516241725,0,0,0,0,132.6964894597,398.08946837911,186.860130712443,233.54497658566,418.96798950507,625.23786211213,350.04147008798,583.58644667364
"SWCCZFR6","SWCCZFR6",16.8059,-88.07394,"2018",15.2,NA,NA,NA,NA,NA,250,437,199,360,0,0,0,0,449,2133,1662,389,229,2362
"SWCCZFR6","SWCCZFR6",16.8131,-88.07774,"2021",12.1,NA,NA,NA,NA,NA,206,160,12,35,115,280,0,0,333,653,483,800,1933,2586
"SWCCZFR6","SWCCZFR6",16.8131,-88.07774,"2021",16,NA,29.5,6.5,23.5,10.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCCZFR6","SWCCZFR6",16.8131,-88.0777,"2023",NA,"Barrier",14,7.164728,30.333333,8.299933,9.4442680190033,28.33280405701,9.2272060890859,27.681618267258,17.154836391833,12.1303011428109,0,0,35.8263104999222,81.469382539396,85.634779616882,968.67990482957,512.65209829145,594.121480830846
"SWCGUZFR1","SWCGUZFR1",16.91365,-88.04752,"2018",15.5,NA,NA,NA,NA,NA,689,528,24,44,0,0,0,0,713,2135,1589,406,180,2315
"SWCGUZFR1","SWCGUZFR1",16.9142,-88.0499,"2023",NA,"Barrier",17.166667,10.83846,29,8.062258,684.49814909674,1101.408253789,200.13802347074,181.45670067131,0,0,0,0,884.63617256748,280.67014150425,188.51506124448,786.84272863455,410.61366187325,691.2838033775
"SWCGUZFR1","SWCGUZFR1",16.91421,-88.04989,"2021",12.6,NA,11.33,7.51,40.67,12.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCGUZFR1","SWCGUZFR1",16.91421,-88.04989,"2021",12.8,NA,NA,NA,NA,NA,700,937,46,136,0,0,0,0,746,354,381,162,251,605
"SWCGUZFR2","SWCGUZFR2",16.9036,-88.0542,"2023",NA,"Barrier",14.166667,9.42367,24.166667,7.581044,58.773822433853,102.72168152912,45.36170045062,136.08510135186,206.31159015186,145.88432443376,354.44863557565,1063.345906727,664.895748611983,275.1566859902,142.6019884775,826.67212754813,566.83268512122,841.98937111142
"SWCGUZFR2","SWCGUZFR2",16.90361,-88.05419,"2021",14,NA,20.83,8.3,35.5,8.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCGUZFR2","SWCGUZFR2",16.90361,-88.05419,"2021",14.4,NA,NA,NA,NA,NA,440,632,82,130,13,40,0,0,535,1271,1679,101,87,1358
"SWCGUZFR2","SWCGUZFR2",16.90474,-88.05085,"2018",13.7,NA,NA,NA,NA,NA,492,437,262,540,118,223,51,144,923,1771,1196,359,344,2115
"SWCGUZFR3","SWCGUZFR3",16.78895,-88.07572,"2021",13,NA,NA,NA,NA,NA,101,319,32,90,41,108,0,0,174,1770,2095,144,202,1972
"SWCGUZFR3","SWCGUZFR3",16.78895,-88.07572,"2021",14,NA,22.67,2.94,32.67,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCGUZFR3","SWCGUZFR3",16.789,-88.0757,"2023",NA,"Barrier",12.666667,6.823163,21.5,12.645816,204.04820920208,249.25103415728,3.3294093589786,7.1062072542705,0,0,48.812809004687,146.43842701406,256.190427565746,494.78431340355,892.07663461217,1138.1648212076,744.55488983359,1239.33920323714
"SWCGUZFR3","SWCGUZFR3",16.78907,-88.07335,"2018",14,NA,NA,NA,NA,NA,95,177,24,44,35,99,0,0,154,2111,1013,258,194,2305
"SWCGUZFR4","SWCGUZFR4",16.77758,-88.07501,"2021",14.4,NA,NA,NA,NA,NA,182,232,18,37,48,134,0,0,248,383,315,61,83,466
"SWCGUZFR4","SWCGUZFR4",16.77758,-88.07501,"2021",15.2,NA,10,6.26,38,20.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCGUZFR4","SWCGUZFR4",16.7776,-88.075,"2023",NA,"Barrier",17.166667,4.879094,19.833333,6.618577,515.54402168143,777.85413144504,36.963126297697,110.88937889309,17.154836391833,12.1303011428109,0,0,569.66198437096,188.02548969338,188.95703700554,849.28041917434,627.21744064026,815.24293033364
"SWCGUZFR4","SWCGUZFR4",16.77826,-88.07259,"2018",14.9,NA,NA,NA,NA,NA,568,606,35,49,0,0,0,0,603,1344,1098,487,181,1525
"SWCGUZFR5","SWCGUZFR5",16.76353,-88.07192,"2018",13.7,NA,NA,NA,NA,NA,876,857,90,183,16,45,0,0,982,3355,1992,187,169,3524
"SWCGUZFR5","SWCGUZFR5",16.76858,-88.07501,"2021",10.3,NA,NA,NA,NA,NA,809,2428,44,66,1,3,0,0,854,940,1124,45,44,984
"SWCGUZFR5","SWCGUZFR5",16.76858,-88.07501,"2021",11.8,NA,38,5.66,35.5,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCGUZFR5","SWCGUZFR5",16.7686,-88.075,"2023",NA,"Barrier",13.166667,6.865777,22.833333,3.715583,252.33181372887,411.03968209098,0,0,47.050278750962,33.2695711615226,0,0,299.382092479832,194.72369288179,151.41238055876,358.92652798092,353.02811384929,547.75180673108
"SWCGUZFR6","SWCGUZFR6",16.75225,-88.07146,"2018",11.9,NA,NA,NA,NA,NA,476,594,12,33,0,0,51,144,539,4543,2143,350,223,4766
"SWCGUZFR6","SWCGUZFR6",16.76079,-88.07356,"2021",11.4,NA,NA,NA,NA,NA,1025,2426,9,8,83,257,0,0,1117,424,503,1793,5549,5973
"SWCGUZFR6","SWCGUZFR6",16.76079,-88.07356,"2021",13.1,NA,27.67,6.35,22,10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWCGUZFR6","SWCGUZFR6",16.7608,-88.0736,"2023",NA,"Barrier",16.5,8.902247,18,5.802298,40.018933069118,73.791266512832,9.2473765103305,24.269397689391,9.7963896155649,6.92709352831142,225.97930991314,677.93792973942,285.042009108153,121.07147043594,125.9831461097,297.69123183701,216.86632446434,337.93779490028
"Tarpon","Tarpon Patch",18.17413,-87.83186,"2018",1,NA,NA,NA,NA,NA,141,228,0,0,20,42,0,0,161,112,228,153,260,372
"The Anchor","The Anchor",18.0974,-87.85613,"2018",12.9,NA,NA,NA,NA,NA,214,280,9,30,13,27,0,0,236,1027,1037,631,1055,2082
"WFR4",NA,16.81538,-87.85217,"2018",8.1,NA,34.33,12.18,4.83,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WFR4",NA,16.81538,-87.85217,"2018",8.9,NA,NA,NA,NA,NA,1099,900,410,682,276,711,0,0,1785,3310,3680,414,352,3662
"WFR6",NA,16.83796,-87.84392,"2018",7.7,NA,33.83,14.3,3.33,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WFR6",NA,16.83796,-87.84392,"2018",8.1,NA,NA,NA,NA,NA,1354,1394,90,147,60,116,102,188,1606,3145,2603,5605,9707,12852
"WP3","Way Point 3",17.4481,-88.0584,"2023",NA,"Barrier",17.333333,9.843215,1.166667,1.674979,33.473632943671,41.018274049933,25.19572245877,38.487101785471,428.87090979582,303.257528570268,0,0,487.540265198261,63.692436326902,70.694861642107,199.15439235644,308.37327535254,372.065711679442
"WP4_BR","West Point 4",17.3866,-87.9358,"2023",NA,"Atoll",22.166667,7.624886,0.333333,0.471405,84.559648083831,137.1525476377,82.432159406618,122.20907351108,0,0,0,0,166.991807490449,375.05585769203,304.16211057387,233.07365243583,220.04470243031,595.10056012234
"WP4_BR","WP4_BR",17.38659,-87.93578,"2018",7.6,NA,NA,NA,NA,NA,245,324,78,159,17,31,0,0,340,1270,864,92,102,1372
"WP4_DFR","West Point 4",17.3835,-87.9397,"2023",NA,"Atoll",11.166667,4.058599,6,2.886751,797.9524544711,666.43515021936,62.496726971069,124.72483607558,1.5237142745607,1.07742869613261,0,0,861.97289571673,656.31189234294,1169.6094826851,2472.0841288931,3093.2011102685,3749.51300261144
"WP4_DFR","WP4_DFR",17.38347,-87.93974,"2018",10.7,NA,NA,NA,NA,NA,720,926,121,197,78,146,0,0,919,1420,1453,434,628,2048
"WP4_SFR","West Point 4",17.3836,-87.9382,"2023",NA,"Atoll",10.166667,6.256108,1.5,1.384437,250.75901218608,274.70540399584,176.61906226342,308.55155523646,12.245487019456,8.65886691038918,0,0,439.623561468956,186.44419148035,323.15460468989,451.86079011721,315.7742493312,502.21844081155
"WP4_SFR","WP4_SFR",17.38359,-87.93821,"2018",7.6,NA,NA,NA,NA,NA,24,45,121,225,0,0,0,0,145,2061,1426,417,126,2187
"WP5_DFR","West Point 5",17.5465,-87.8228,"2023",NA,"Atoll",19.666667,6.472163,13,6.429101,2676.5096010772,5004.8385096543,148.7836903547,267.58729916453,93.134722838494,65.8561940830287,0,0,2918.42801427039,358.34502891629,192.54432966781,2285.2743619454,3200.092066976,3558.43709589229
"WP5_DFR","WP5_DFR",17.54603,-87.82514,"2018",10.7,NA,NA,NA,NA,NA,201,334,0,0,24,67,0,0,225,1037,639,510,753,1790
"WP5_SFR","West Point 5",17.5467,-87.8219,"2023",NA,"Atoll",38.833333,7.733405,0.166667,0.372678,10.61243597077,28.077866383253,46.203907872122,122.24404982897,53.608863724477,37.9071910712832,0,0,110.425207567369,539.88465112524,394.93933632282,1153.420881987,807.14715137506,1347.0318025003
