"Code","Name","Latitude","Longitude","YEAR","Depth","Reef Type","tCORALavg","tCORALstd","tFMAavg","tFMAstd","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tCommBiomass","tACANavg","tACANstd","tSCARavg","tSCARstd","tHerbiBiomass"
"BZ2220","West of Jack Barrow Camp",17.54819,-87.821,"2016",1.9,NA,30.33,14.54,2.83,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ2220","West of Jack Barrow Camp",17.54819,-87.821,"2016",2.5,NA,NA,NA,NA,NA,344,561,11,30,25,44,117,370,497,1371,1444,1096,2803,4174
"BZ2226","Turneffe",17.5856,-87.8076,"2006",NA,NA,NA,NA,NA,NA,171,281,13,33,20,45,0,0,204,1935,1109,193,169,2104
"BZ2228",NA,16.0714,-88.7439,"2006",NA,NA,NA,NA,NA,NA,30,59,191,380,19,56,0,0,240,370,314,18,57,427
"BZ3001","Ara Macao",16.65709,-88.30989,"2006",NA,NA,NA,NA,NA,NA,1303,1150,5,10,106,210,3,10,1417,4625,5324,239,137,4762
"BZ3002","Glovers Reef",16.75458,-87.78801,"2006",NA,NA,NA,NA,NA,NA,482,881,0,0,0,0,900,1954,1382,658,715,408,477,1135
"BZ3003","WWF fish toxicology site",16.141,-88.26057,"2006",NA,NA,NA,NA,NA,NA,19,41,0,0,0,0,0,0,19,1064,497,155,104,1168
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2013",3,NA,NA,NA,NA,NA,1100,1754,0,0,0,0,0,0,1100,2014,1244,1205,1219,3233
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2018",2.2,NA,13.33,14.94,25.67,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2018",5.5,NA,NA,NA,NA,NA,1122,1000,24,39,68,118,41,129,1255,725,693,315,291,1016
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2021",1.5,NA,13.17,8.52,20,11.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZBCCB01","Barracuda Patch",18.16878,-87.834,"2021",1.8,NA,NA,NA,NA,NA,740,1386,0,0,160,269,0,0,900,3261,4410,358,373,3634
"BZBCCB02","Basil Jones- BCMR",18.1125,-87.84692,"2013",3,NA,NA,NA,NA,NA,304,375,2,4,17,29,0,0,323,112,111,66,67,179
"BZBCCD02","Robles Point",18.10831,-87.8465,"2013",11.9,NA,NA,NA,NA,NA,177,382,517,833,87,246,0,0,781,728,1000,449,270,998
"BZBCCD03",NA,18.12728,-87.81514,"2013",11.9,NA,NA,NA,NA,NA,0,0,400,759,17,31,0,0,417,174,274,666,905,1079
"BZCGMF","Caye Glory",17.0853,-87.9878,"2023",NA,"Barrier",11,8.75595,13.666667,5.153208,529.96250194515,484.32933286169,126.25605791908,297.16561595565,9.7963896155649,6.92709352831142,0,0,666.014949479795,346.11354515546,245.04421339508,3837.7288957112,6181.4756465364,6527.58919169186
"BZHCCB01",NA,17.86785,-87.97554,"2013",3,NA,NA,NA,NA,NA,19356,33268,436,1178,43,99,402,782,20237,3412,4608,1113,387,3799
"BZHCCB02",NA,17.84229,-87.98486,"2013",1.5,NA,NA,NA,NA,NA,566,830,138,350,36,103,146,413,886,1346,851,712,779,2125
"BZHCCD01","BZHCCD01",17.8684,-87.9722,"2023",NA,"Barrier",13.5,3.774917,29.5,8.784456,453.84882568351,586.93789950821,8.3985741529233,25.19572245877,120.33908560211,85.0925834710404,0,0,582.586485438543,223.63595306744,222.22696813497,2840.7854298945,2034.3620178177,2257.99797088514
"BZHCCD01",NA,17.86476,-87.97222,"2013",11.9,NA,NA,NA,NA,NA,97,275,299,480,156,254,0,0,552,2539,1445,1105,916,3455
"BZHCCD02","BZHCCD02",17.8426,-87.9794,"2023",NA,"Barrier",10.714286,4.772369,31.571429,10.47592,777.86015212185,944.53812112946,20.106387243581,32.674051796571,162.97094572241,115.237860856701,0,0,960.937485087841,635.13025028892,954.51010260717,2033.275920227,1665.9583402422,2301.08859053112
"BZHCCD02",NA,17.84262,-87.97943,"2013",11.9,NA,NA,NA,NA,NA,966,1639,18,51,129,270,0,0,1113,4206,2286,801,687,4893
"BZHMCwall","HMC Wall East Buoy HRI",17.20323,-87.54223,"2016",9.9,NA,36.5,10.13,30.67,8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZHMCwall","HMC Wall East Buoy HRI",17.20323,-87.54223,"2016",11.4,NA,NA,NA,NA,NA,4206,5943,1193,2885,207,398,0,0,5606,2662,4212,316,204,2866
"BZPHMR01","Daly Bank",16.33054,-88.34744,"2018",7.9,NA,NA,NA,NA,NA,110,244,627,1162,0,0,0,0,737,3644,4116,66,185,3829
"BZPHMR02","BZPHMR02",16.1595,-88.4102,"2023",NA,"Barrier",20.833333,3.97562,8.166667,1.950783,0,0,77.060797654411,154.12159530882,83.085196466711,58.7501058378279,0,0,160.145994121122,0,0,4607.7588652827,3191.9230000836,3191.9230000836
"BZPHMR02","Spanish Bank",16.15951,-88.41017,"2018",7.9,NA,NA,NA,NA,NA,1297,2406,199,452,184,519,0,0,1680,6113,4841,159,270,6383
"BZPHMR03","East Snake Caye",16.20594,-88.50809,"2018",4,NA,NA,NA,NA,NA,5168,5467,0,0,398,934,0,0,5566,7734,9020,444,594,8328
"BZPHMR04","Middle Snake Caye",16.20152,-88.55112,"2018",3.5,NA,NA,NA,NA,NA,4236,6879,0,0,351,791,0,0,4587,14203,19283,273,547,14750
"BZPHMR05","South Snake Caye",16.17913,-88.56444,"2018",3.3,NA,NA,NA,NA,NA,1869,3687,12,33,516,782,0,0,2397,8572,6825,113,267,8839
"BZPHMR06","West Snake Caye",16.18874,-88.56981,"2018",3.8,NA,NA,NA,NA,NA,8153,7800,12,33,1344,2626,0,0,9509,7565,7379,599,871,8436
"BZPHMR07","Bank 3",16.15346,-88.59153,"2018",4.9,NA,NA,NA,NA,NA,547,773,0,0,0,0,0,0,547,849,1193,150,280,1129
"BZPHMR08","Bank 2",16.17936,-88.55684,"2018",5.3,NA,NA,NA,NA,NA,56,149,868,1935,281,743,0,0,1205,8012,8080,1105,1435,9447
"BZPHMR09","French Man",16.17925,-88.6364,"2018",2.5,NA,NA,NA,NA,NA,6240,9291,12,33,105,298,0,0,6357,8637,10603,3716,10078,18715
"BZPHMR10","Wilson",16.22111,-88.58796,"2018",3.3,NA,NA,NA,NA,NA,3192,6867,0,0,70,199,0,0,3262,16914,19396,208,576,17490
"BZSCMR","Preservation Zone",16.1506,-88.2429,"2023",NA,"Barrier",12,6.244998,8,2.645751,330.51567763304,991.54703289913,506.67040396732,1492.2260640022,17.154836391833,12.1303011428109,0,0,854.340917992193,1076.6255658593,2630.2738268982,8687.7452609684,8893.5733148356,9970.1988806949
"CB_BR","CB_BR",17.15853,-87.91023,"2018",2.1,NA,NA,NA,NA,NA,1027,437,73,171,0,0,0,0,1100,2471,3046,405,234,2705
"CB_DFR","CB_DFR",17.14891,-87.90773,"2018",10.7,NA,NA,NA,NA,NA,478,669,0,0,35,99,0,0,513,2925,1410,916,993,3918
"CB_SFR","CB_SFR",17.15698,-87.90921,"2018",7.6,NA,NA,NA,NA,NA,222,262,357,674,8,22,0,0,587,1204,1132,434,165,1369
"CBDFR","CBDFR",17.157,-87.9079,"2023",NA,"Atoll",20.666667,6.896054,23.583333,7.865625,2500.5597288679,2242.1368712499,0,0,1669.1867908501,926.405035749235,0,0,4169.746519718,169.81864589973,154.74376664267,802.93418910701,760.66938143736,930.48802733709
"CC01","Corona Caiman",15.95446,-88.28024,"2021",10.9,NA,59.83,13.64,9.67,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC01","Corona Caiman",15.95446,-88.28024,"2021",14,NA,NA,NA,NA,NA,32,102,14,21,39,100,0,0,85,533,416,230,305,838
"CC01","Corona Caiman",15.9545,-88.2802,"2023",NA,"Bank",50.333333,13.682917,11.666667,6.944222,35.134036296788,105.27952982083,46.928972980129,115.53764888939,19.548160972753,13.8226371835599,0,0,101.61117024967,148.16764432858,241.27198218564,673.26006396363,690.53544988177,838.70309421035
"CC02","Corona Caiman sensor temp",15.9695,-88.2985,"2023",NA,"Bank",24.666667,10.79609,28,11.135529,116.60240694637,320.38447680713,28.014701135656,54.636702460541,25.732254587749,18.195451714216,0,0,170.349362669775,245.59046224219,338.30609610525,525.83413650897,633.74338107511,879.3338433173
"CC02","Corona Caiman sensor temp",15.96953,-88.29851,"2021",14.8,NA,31.33,7.76,38.42,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC02","Corona Caiman sensor temp",15.96953,-88.29851,"2021",16.1,NA,NA,NA,NA,NA,16,53,285,944,16,29,13,44,330,491,415,362,260,751
"CCSC","Caye Caulker Southern Channel",17.7256,-88.0109,"2023",NA,"Barrier",11.666667,5.647025,16.166667,3.531603,307.24890931938,415.69992075104,80.523269591822,115.32320988521,265.0374789114,187.409798606838,0,0,652.809657822602,491.93958993441,344.91264781667,5295.996460732,4719.4956916559,5211.43528159031
"Control","Control",18.06742,-87.86975,"2018",15.4,NA,NA,NA,NA,NA,159,331,12,33,40,75,0,0,211,860,1621,373,475,1335
"Coral Lane","Coral Lane",17.3072,-88.0538,"2023",NA,"Barrier",27.333333,10.624918,1,1.154701,442.0754742368,875.04595809659,8.137573390671,24.412720172013,0,0,225.97930991314,677.93792973942,676.192357540611,786.36234137871,1349.9618859613,2956.1000726572,2067.7017422257,2854.06408360441
"CZ2_DFR","Cockroach Zone",17.51,-87.7492,"2023",NA,"Atoll",7.833333,2.67187,9.333333,5.734884,277.31513477673,516.1348537595,211.19342820191,354.38222923968,233.31972442795,164.98195932758,0,0,721.82828740659,458.08172443657,322.88128785482,2053.2205115654,2300.1328257481,2758.21455018467
"CZ2_DFR","CZ2_DFR",17.51001,-87.74921,"2018",10.7,NA,NA,NA,NA,NA,0,0,53,104,0,0,18,52,71,1302,1276,446,295,1597
"CZ2_SFR","CZ2_SFR",17.51015,-87.74994,"2018",8.6,NA,NA,NA,NA,NA,566,728,0,0,16,45,0,0,582,2451,2874,860,647,3098
"CZFR2","CZFR2",16.7369,-87.8077,"2023",NA,"Atoll",23.166667,12.428685,27.583333,8.852573,100.32221409338,300.96664228015,48.038776099788,115.13413671164,166.17039293342,117.500211675654,0,0,314.531383126588,452.01231308774,287.79186859657,3629.8766810973,1787.9502708556,2239.96258394334
"CZFR2",NA,16.73689,-87.80771,"2018",13.4,NA,23.83,9.11,16,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZFR2",NA,16.73689,-87.80771,"2018",14.7,NA,NA,NA,NA,NA,507,588,120,374,46,119,0,0,673,716,512,0,0,716
"CZPR4",NA,16.76369,-87.80431,"2018",1.3,NA,25.17,9.89,9.83,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZPR4",NA,16.76369,-87.80431,"2018",1.5,NA,NA,NA,NA,NA,10,30,0,0,0,0,0,0,10,12,40,3,9,21
"FIDO","Fido's Secret Wall",18.17344,-87.82841,"2018",11.4,NA,NA,NA,NA,NA,297,386,67,135,638,2003,117,370,1119,2638,3301,206,308,2946
"Goff's Caye","Goff's Caye",17.3521,-88.0385,"2023",NA,"Barrier",33.5,11.800424,6,7.83156,41.22355289483,123.67065868449,93.857945960258,149.30920806111,68.619345567331,48.5212045712428,0,0,203.700844422419,562.30090980277,690.07802270041,2599.8956204319,1376.6131262256,1938.91403602837
"GSMBRS1","Gladden Spit",16.45231,-88.04171,"2021",3,NA,35,8.22,10,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSMBRS1","Gladden Spit",16.45231,-88.04171,"2021",3.2,NA,NA,NA,NA,NA,123,214,118,374,2,6,0,0,243,570,334,603,1351,1921
"GSMBRS1","Gladden Spit MBRS1",16.45231,-88.04171,"2014",2.8,NA,NA,NA,NA,NA,0,0,85,176,32,68,12,34,129,2638,1992,33,94,2732
"GSMBRS2","Gladden Spit MBRS2",16.45133,-88.03986,"2014",2.1,NA,NA,NA,NA,NA,782,2212,187,311,394,1063,0,0,1363,3768,4530,320,716,4484
"GSMBRS3","Gladden Spit MBRS3",16.57584,-88.01806,"2014",4.1,NA,NA,NA,NA,NA,0,0,24,66,36,79,0,0,60,1709,2540,1759,1829,3538
"GSMBRS6","Gladden Spit MBRS6",16.52625,-87.97514,"2014",4.4,NA,NA,NA,NA,NA,168,476,0,0,0,0,227,643,395,2433,3060,622,722,3155
"GSMBRS9","Gladden Spit MBRS9",16.52825,-87.9817,"2014",1.5,NA,NA,NA,NA,NA,66,187,85,239,32,90,0,0,183,2626,2246,896,837,3463
"HolChan","Hol Chan",17.85897,-87.97327,"2021",13.8,NA,NA,NA,NA,NA,86,209,583,1843,0,0,0,0,669,564,742,76,130,694
"HolChan","Hol Chan",17.85897,-87.97327,"2021",15.4,NA,22.83,2.64,42.67,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAST","Last Resort",18.16356,-87.83042,"2018",4.4,NA,NA,NA,NA,NA,445,710,0,0,0,0,0,0,445,380,327,143,169,549
"LBCMBRS1","Laughing Bird 1",16.42794,-88.20604,"2021",6.7,NA,9.33,3.56,9.67,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBCMBRS1","Laughing Bird 1",16.42794,-88.20604,"2021",6.8,NA,NA,NA,NA,NA,345,388,154,296,0,0,0,0,499,999,627,31,64,1063
"LBCMBRS1","Laughing Bird Caye 1",16.4279,-88.206,"2023",NA,"Lagoonal",6.833333,3.484091,13.583333,9.497441,145.75483929697,306.67699426413,85.459371807334,171.94736740592,0,0,0,0,231.214211104304,182.47439744415,299.0685497803,2649.9054925186,2071.0479126851,2253.52231012925
"LBCMBRS2","Laughing Bird 2",16.44383,-88.19778,"2021",1.5,NA,7.67,6.11,26.67,12.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBCMBRS2","Laughing Bird 2",16.44383,-88.19778,"2021",2.3,NA,NA,NA,NA,NA,1052,2753,0,0,6,20,117,370,1175,826,1187,37,74,900
"LBCMBRS2","Laughing Bird Caye 2",16.4438,-88.1978,"2023",NA,"Lagoonal",7.333333,6.968182,8.416667,2.387758,98.282663885509,136.10652026294,0,0,186.26944567699,131.712388166059,0,0,284.552109562499,151.83988328075,170.69941914844,5612.7200863565,7730.1278192057,7881.96770248645
"LBCMBRS2","Laughing Bird Caye MBRS2",16.44383,-88.19778,"2014",4.3,NA,NA,NA,NA,NA,6017,7215,0,0,121,343,12,34,6150,5407,3156,853,1040,6447
"LBMBRS1","Laughing Bird Caye MBRS1",16.42794,-88.20604,"2014",7.6,NA,NA,NA,NA,NA,1018,1226,321,405,63,179,0,0,1402,5203,3366,1169,1282,6485
"MP_DFR","Mauger Point",17.6211,-87.7889,"2023",NA,"Atoll",13.666667,3.72678,14.916667,5.790917,2023.2651383204,1469.8568300446,161.40882860837,180.1610860704,9.5304646621292,6.73905619045032,0,0,2194.2044315909,614.34713846131,745.95707562139,3663.6866934502,2629.1339197194,3243.48105818071
"MP_DFR","MP_DFR",17.62305,-87.79146,"2018",10.7,NA,NA,NA,NA,NA,285,259,188,450,9,24,0,0,482,1492,1848,210,143,1635
"MP_SFR","Mauger Point",17.6205,-87.7884,"2023",NA,"Atoll",26.666667,3.681787,23.75,7.537407,2400.3684710049,2219.8392512633,181.69534958715,336.01353230777,1.9559313024611,1.38305228750528,147.44054384412,417.02483349603,2731.46029573863,811.65727028819,536.86016112267,4362.536196243,2129.6468652681,2941.30413555629
"MP_SFR","MP_SFR",17.62194,-87.78979,"2018",7.6,NA,NA,NA,NA,NA,197,310,2,4,9,22,0,0,208,1803,1239,375,207,2010
"MXRCK","Mexico Rocks",17.99067,-87.90297,"2021",13.5,NA,NA,NA,NA,NA,11,34,0,0,32,100,0,0,43,337,616,136,170,507
"MXRCK","Mexico Rocks",17.99067,-87.90297,"2021",14.1,NA,20.17,3.54,29.17,15.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MXRCK","Mexico Rocks",17.9907,-87.903,"2023",NA,"Barrier",9.166667,2.910708,40.416667,10.802842,8.0037866138235,24.011359841471,0,0,107.5476281488,76.0476571645457,0,0,115.551414762623,563.8770903273,505.59159404498,682.85473971284,678.77332984227,1242.65042016957
"Nicholas Caye","Nicholas Caye",16.1123,-88.256,"2023",NA,"Barrier",21,10.954451,16.166667,6.309164,4316.589357989,6983.2650328067,12.837786631561,24.286173659106,17.154836391833,12.1303011428109,0,0,4346.58198101239,708.57512069086,656.04987319699,2133.2382972361,1167.8042384767,1876.37935916756
"PALM","Palm Spring",18.06523,-87.87831,"2018",1.8,NA,NA,NA,NA,NA,146,267,0,0,0,0,0,0,146,214,242,420,359,573
"PHMR 01","Bank 3",16.15347,-88.59154,"2021",8,NA,NA,NA,NA,NA,21,38,0,0,25,80,0,0,46,460,651,6,12,472
"PHMR 01","Bank 3",16.15347,-88.59154,"2021",8.4,NA,3.17,2.64,25,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 02","Frenchman",16.17925,-88.63641,"2021",3.6,NA,NA,NA,NA,NA,19,41,20,42,13,40,0,0,52,661,566,1,3,664
"PHMR 02","Frenchman",16.17925,-88.63641,"2021",4.3,NA,16.5,11.64,9.58,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 03","Daly Bank",16.33055,-88.34744,"2021",8.2,NA,NA,NA,NA,NA,22,47,59,67,0,0,0,0,81,588,1101,24,43,631
"PHMR 03","Daly Bank",16.33055,-88.34744,"2021",9.3,NA,11,3.69,7.58,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 04","Spanish Bank",16.15952,-88.41018,"2021",8.7,NA,9.67,1.37,10.17,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHMR 04","Spanish Bank",16.15952,-88.41018,"2021",8.8,NA,NA,NA,NA,NA,30,70,33,46,843,2665,0,0,906,859,731,0,0,859
"PHMR 05","East Snake Caye",16.20594,-88.50809,"2021",4.1,NA,NA,NA,NA,NA,66,147,44,138,133,421,0,0,243,320,313,600,1346,1666
